Row,No Extraction,No Annotation,Wrong Range,Wrong Tag,Wrong Range and tag,Num correct tags,Sentence
764,"[(['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['O', 'O', 'O', 'O'], ['Acute', 'Respiratory', 'Distress', 'Syndrome']), (['B-SYMPTOM_AND_DISEASE'], ['O'], ['ARDS'])]",[],"[(['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['O', 'O', 'B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'O', 'O'], ['Hội', 'chứng', 'suy', 'hô', 'hấp', 'cấp', 'nặng', 'người', 'lớn']), (['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'O', 'B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['tiết', 'dịch', 'nhầy', 'ở', 'đường', 'thở']), (['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'O', 'O', 'O', 'B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['tổn', 'thương', 'phổi', 'diện', 'rộng', 'và', 'đông', 'máu'])]",[],[],"[(['B-DATE'], ['B-DATE'], ['16/4']), (['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['viêm', 'phổi'])]","['Nghiên', 'cứu', 'của', 'NETwork', 'công', 'bố', 'ngày', '16/4', 'trên', 'tạp', 'chí', 'Experimental', 'Medicine', 'mô', 'tả', 'những', 'bệnh', 'nhân', 'nhiễm', 'Covid', '-', '19', 'nặng', 'phát', 'triển', 'Hội', 'chứng', 'suy', 'hô', 'hấp', 'cấp', 'nặng', 'người', 'lớn', '(', 'Acute', 'Respiratory', 'Distress', 'Syndrome', '-', 'ARDS', ')', ',', 'viêm', 'phổi', ',', 'tiết', 'dịch', 'nhầy', 'ở', 'đường', 'thở', ',', 'tổn', 'thương', 'phổi', 'diện', 'rộng', 'và', 'đông', 'máu', '.']"
765,"[(['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['O', 'O', 'O', 'O', 'O'], ['Ban', 'Tôn', 'giáo', 'Chính', 'phủ'])]",[],[],[],[],"[(['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['19', '-', '3']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['TP.', 'HCM']), (['B-LOCATION'], ['B-LOCATION'], ['Malaysia'])]","['Nhưng', 'đến', 'ngày', '19', '-', '3', ',', 'Ban', 'đại', 'diện', 'mới', 'gửi', 'danh', 'sách', 'tổng', 'hợp', '34', 'trường', 'hợp', 'TP.', 'HCM', 'có', 'tham', 'gia', 'lễ', 'hội', 'tôn', 'giáo', 'tại', 'Malaysia', 'cho', 'Ban', 'Tôn', 'giáo', 'Chính', 'phủ', '.']"
766,[],[],[],[],[],"[(['B-DATE'], ['B-DATE'], ['2/9']), (['B-LOCATION'], ['B-LOCATION'], ['Uzbekistan']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['sân', 'bay', 'Nội', 'Bài']), (['B-TRANSPORTATION', 'I-TRANSPORTATION'], ['B-TRANSPORTATION', 'I-TRANSPORTATION'], ['CHSEJ', '3569'])]","['Ngày', '2/9', ',', 'cả', 'ba', 'người', 'từ', 'Uzbekistan', 'về', 'sân', 'bay', 'Nội', 'Bài', 'trên', 'chuyến', 'bay', 'CHSEJ', '3569', '.']"
767,"[(['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['O', 'O', 'O', 'O'], ['Tiểu', 'ban', 'Điều', 'trị'])]",[],[],[],[],"[(['B-PATIENT_ID'], ['B-PATIENT_ID'], ['793']), (['B-AGE'], ['B-AGE'], ['58'])]","['Báo', 'cáo', 'của', 'Tiểu', 'ban', 'Điều', 'trị', ',', 'trong', 'số', 'các', 'bệnh', 'nhân', 'đang', 'điều', 'trị', ',', '""', 'bệnh', 'nhân', '793', '""', ',', '58', 'tuổi', ',', 'tình', 'trạng', 'nặng', ',', 'sobg', 'tiến', 'triển', 'sức', 'khoẻ', 'ổn', 'định', '.']"
768,"[(['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['O', 'O', 'O'], ['Sở', 'Y', 'tế']), (['B-GENDER'], ['O'], ['nam']), (['B-AGE'], ['O'], ['63']), (['B-JOB', 'I-JOB', 'I-JOB', 'I-JOB'], ['O', 'O', 'O', 'O'], ['nhân', 'viên', 'giao', 'hàng'])]",[],[],[],[],"[(['B-PATIENT_ID'], ['B-PATIENT_ID'], ['812']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['phường', 'Phú', 'Diễn']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['quận', 'Bắc', 'Từ', 'Liêm'])]","['Liên', 'quan', 'đến', 'bệnh', 'nhân', '812', 'mới', 'nhất', ',', 'giám', 'đốc', 'Sở', 'Y', 'tế', 'cho', 'biết', 'đây', 'là', 'bệnh', 'nhân', 'nam', '63', 'tuổi', 'làm', 'nhân', 'viên', 'giao', 'hàng', ',', 'có', 'địa', 'chỉ', 'tại', 'phường', 'Phú', 'Diễn', ',', 'quận', 'Bắc', 'Từ', 'Liêm', '.']"
769,[],[],[],[],[],"[(['B-TRANSPORTATION'], ['B-TRANSPORTATION'], ['VJ981']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Việt', 'Nam']), (['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['4', '-', '3']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['Trường', 'quân', 'sự', 'của', 'Quân', 'đoàn', '1']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Tam', 'Điệp']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Ninh', 'Bình']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Vân', 'Đồn']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Quảng', 'Ninh'])]","['Như', 'chuyến', 'bay', 'VJ981', 'về', 'Việt', 'Nam', 'ngày', '4', '-', '3', '(', 'có', '1', 'bệnh', 'nhân', 'dương', 'tính', ')', ',', 'toàn', 'bộ', 'hành', 'khách', 'đã', 'được', 'cách', 'ly', 'tại', 'Trường', 'quân', 'sự', 'của', 'Quân', 'đoàn', '1', 'tại', 'Tam', 'Điệp', ',', 'Ninh', 'Bình', ',', 'ngay', 'sau', 'khi', 'máy', 'bay', 'hạ', 'cánh', 'tại', 'Vân', 'Đồn', '(', 'Quảng', 'Ninh', ')', '.']"
770,"[(['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['O', 'O', 'O', 'O'], ['tâm', 'thần', 'phân', 'liệt'])]",[],[],[],[],"[(['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['ung', 'thư']), (['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['đa', 'xơ', 'cứng'])]","['Đối', 'với', 'bệnh', 'nhân', 'tâm', 'thần', 'phân', 'liệt', ',', 'ung', 'thư', ',', 'đa', 'xơ', 'cứng', 'và', 'những', 'trường', 'hợp', 'khác', '-', 'ngay', 'cả', 'những', 'người', 'đang', 'thở', 'máy', '-', 'liệu', 'pháp', 'âm', 'nhạc', 'có', 'thể', 'giảm', 'đáng', 'kể', 'sự', 'lo', 'lắng', ',', 'trầm', 'cảm', 'và', 'đôi', 'khi', 'cả', 'những', 'triệu', 'chứng', 'bệnh', 'tiềm', 'tàng', '.']"
771,[],[],[],[],[],"[(['B-PATIENT_ID'], ['B-PATIENT_ID'], ['556']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['556']), (['B-GENDER'], ['B-GENDER'], ['nam']), (['B-AGE'], ['B-AGE'], ['29']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Hoà', 'Phước']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Hoà', 'Vang']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Đà', 'Nẵng'])]","['Ca', 'bệnh', '556', '(', 'bệnh', 'nhân', '556', ')', ':', 'nam', ',', '29', 'tuổi', ',', 'Hoà', 'Phước', '-', 'Hoà', 'Vang', '-', 'Đà', 'Nẵng', '.']"
772,[],[],[],[],[],"[(['B-GENDER'], ['B-GENDER'], ['Nam']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['457']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['đường', 'Hùng', 'Vương']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['tổ', '33']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['phường', 'Hải', 'Châu', '1']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['quận', 'Hải', 'Châu'])]","['Nam', 'bệnh', 'nhân', 'số', '457', 'ở', 'đường', 'Hùng', 'Vương', ',', 'thuộc', 'tổ', '33', ',', 'phường', 'Hải', 'Châu', '1', ',', 'quận', 'Hải', 'Châu', '.']"
773,[],[],[],[],[],"[(['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['xã', 'Định', 'Hoá']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['huyện', 'Yên', 'Định']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['tỉnh', 'Thanh', 'Hoá']), (['B-DATE'], ['B-DATE'], ['20/2'])]","['Cô', 'gái', '25', 'tuổi', 'ở', 'xã', 'Định', 'Hoá', ',', 'huyện', 'Yên', 'Định', ',', 'tỉnh', 'Thanh', 'Hoá', ',', 'được', 'lấy', 'mẫu', 'ngày', '20/2', '.']"
774,[],[],"[(['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-JOB', 'I-JOB', 'B-LOCATION', 'I-LOCATION'], ['thị', 'xã', 'Điện', 'Bàn'])]",[],[],"[(['B-PATIENT_ID'], ['B-PATIENT_ID'], ['433']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['433']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['xã', 'Điện', 'Thọ']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Quảng', 'Nam'])]","['Ca', 'bệnh', '433', '(', 'bệnh', 'nhân', '433', ')', 'có', 'địa', 'chỉ', 'ở', 'xã', 'Điện', 'Thọ', ',', 'thị', 'xã', 'Điện', 'Bàn', ',', 'Quảng', 'Nam', '.']"
775,[],[],[],[],[],"[(['B-PATIENT_ID'], ['B-PATIENT_ID'], ['753']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['753']), (['B-GENDER'], ['B-GENDER'], ['nam']), (['B-AGE'], ['B-AGE'], ['30']), (['B-TRANSPORTATION'], ['B-TRANSPORTATION'], ['CX906']), (['B-LOCATION'], ['B-LOCATION'], ['Philippines']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['sân', 'bay', 'Tân', 'Sân', 'Nhất']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Hong', 'Kong'])]","['Ca', 'bệnh', '753', '(', 'bệnh', 'nhân', '753', ')', ':', 'nam', ',', '30', 'tuổi', ',', 'quốc', 'tịch', 'Philippines', ',', 'liên', 'quan', 'chuyến', 'bay', 'CX906', 'từ', 'Philippines', 'về', 'sân', 'bay', 'Tân', 'Sân', 'Nhất', '(', 'quá', 'cảnh', 'Hong', 'Kong', ')', ',', 'được', 'cách', 'ly', ',', 'lấy', 'mẫu', 'xét', 'nghiệm', 'ngay', 'sau', 'nhập', 'cảnh', '.']"
776,[],[],[],[],[],"[(['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['31', '-', '3']), (['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['sốt', '38,3', 'oC'])]","['Đến', 'ngày', '31', '-', '3', ',', 'cô', 'sốt', '38,3', 'oC', ',', 'không', 'ho', ',', 'không', 'khó', 'thở', ',', 'được', 'chuyển', 'khu', 'cách', 'ly', 'đặc', 'biệt', 'và', 'lấy', 'mẫu', 'bệnh', 'phẩm', '.']"
777,[],[],[],[],[],"[(['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['6', '-', '8']), (['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['Trung', 'tâm', 'Y', 'tế', 'huyện', 'Phúc', 'Thọ']), (['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['Trung', 'tâm', 'Kiểm', 'soát', 'dịch', 'bệnh', 'Hà', 'Nội']), (['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['CDC', 'Hà', 'Nội']), (['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['7', '-', '8'])]","['11h30', 'ngày', '6', '-', '8', ',', 'Trung', 'tâm', 'Y', 'tế', 'huyện', 'Phúc', 'Thọ', 'lấy', 'mẫu', 'xét', 'nghiệm', 'và', 'chuyển', 'Trung', 'tâm', 'Kiểm', 'soát', 'dịch', 'bệnh', 'Hà', 'Nội', '(', 'CDC', 'Hà', 'Nội', ')', 'để', 'xét', 'nghiệm', ',', 'kết', 'quả', 'công', 'bố', 'chiều', 'nay', '7', '-', '8', 'cho', 'thấy', 'bệnh', 'nhân', 'dương', 'tính', 'với', 'COVID', '-', '19', '.']"
778,[],[],[],[],[],"[(['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['Bộ', 'Y', 'tế']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['242']), (['B-GENDER'], ['B-GENDER'], ['nữ']), (['B-AGE'], ['B-AGE'], ['34']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['xã', 'Cẩm', 'Quan']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['huyện', 'Cẩm', 'Xuyên']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['tỉnh', 'Hà', 'Tĩnh']), (['B-LOCATION'], ['B-LOCATION'], ['Nga'])]","['Theo', 'thông', 'tin', 'từ', 'Bộ', 'Y', 'tế', ',', 'bệnh', 'nhân', '242', 'là', 'nữ', ',', '34', 'tuổi', ',', 'quốc', 'tịch', 'Việt', 'Nam', ',', 'địa', 'chỉ', 'tại', 'xã', 'Cẩm', 'Quan', ',', 'huyện', 'Cẩm', 'Xuyên', ',', 'tỉnh', 'Hà', 'Tĩnh', ',', 'sinh', 'sống', 'và', 'làm', 'việc', 'tại', 'Nga', '.']"
779,[],[],[],[],[],"[(['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['CDC', 'Ninh', 'Bình']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['325']), (['B-GENDER'], ['B-GENDER'], ['nữ']), (['B-AGE'], ['B-AGE'], ['34']), (['B-LOCATION'], ['B-LOCATION'], ['Nga']), (['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['13', '-', '5'])]","['Theo', 'đó', ',', 'CDC', 'Ninh', 'Bình', 'cho', 'biết', 'bệnh', 'nhân', '325', '(', 'nữ', ',', '34', 'tuổi', ')', 'từ', 'Nga', 'về', 'nước', 'ngày', '13', '-', '5', '.']"
780,[],[],[],[],[],"[(['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['19', '-', '7']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['nhà', 'thờ', 'An', 'Ngãi', 'Đông']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['xã', 'Hoà', 'Sơn']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Hoà', 'Vang']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Đà', 'Nẵng'])]","['Chiều', '19', '-', '7', ',', 'bệnh', 'nhân', 'đi', 'lễ', 'tại', 'nhà', 'thờ', 'An', 'Ngãi', 'Đông', ',', 'xã', 'Hoà', 'Sơn', ',', 'Hoà', 'Vang', ',', 'Đà', 'Nẵng', '.']"
781,"[(['B-SYMPTOM_AND_DISEASE'], ['O'], ['choáng'])]",[],[],[],[],"[(['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['ngất', 'xỉu']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['Bệnh', 'viện', 'Lao', 'và', 'Bệnh', 'phổi', 'Cần', 'Thơ'])]","['Ông', 'bị', 'choáng', ',', 'ngất', 'xỉu', ',', 'được', 'đưa', 'đi', 'cấp', 'cứu', 'y', 'tế', 'ở', 'Bệnh', 'viện', 'Lao', 'và', 'Bệnh', 'phổi', 'Cần', 'Thơ', '.']"
782,[],[],[],[],[],"[(['B-PATIENT_ID'], ['B-PATIENT_ID'], ['552']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['552']), (['B-GENDER'], ['B-GENDER'], ['nam']), (['B-AGE'], ['B-AGE'], ['78']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['khoa', 'ngoại', 'bỏng', ',', 'Bệnh', 'viện', 'Đà', 'Nẵng'])]","['Ca', 'bệnh', '552', '(', 'bệnh', 'nhân', '552', ')', ':', 'nam', ',', '78', 'tuổi', ',', 'người', 'nhà', 'bệnh', 'nhân', 'tại', 'khoa', 'ngoại', 'bỏng', ',', 'Bệnh', 'viện', 'Đà', 'Nẵng', '.']"
783,[],[],[],[],[],"[(['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['đường', 'Hồ', 'Biểu', 'Chánh']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['phường', 'Hoà', 'Cường', 'Bắc']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['quận', 'Hải', 'Châu'])]","['Bệnh', 'nhân', 'trọ', 'trên', 'đường', 'Hồ', 'Biểu', 'Chánh', ',', 'phường', 'Hoà', 'Cường', 'Bắc', ',', 'quận', 'Hải', 'Châu', '(', 'ở', 'một', 'mình', ')', '.']"
784,[],[],"[(['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'O', 'O', 'B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['Trường', 'Quân', 'sự', 'địa', 'phương', 'TP', 'Cần', 'Thơ'])]",[],[],"[(['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['Bệnh', 'viện', 'Lao', 'và', 'Bệnh', 'phổi', 'Cần', 'Thơ']), (['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['Bệnh', 'viện', 'Lao', 'và', 'Bệnh', 'phổi', 'Cần', 'Thơ']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Quảng', 'Ninh']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['TP', 'Cần', 'Thơ'])]","['Cô', 'được', 'đưa', 'về', 'cách', 'ly', 'tại', 'Trường', 'Quân', 'sự', 'địa', 'phương', 'TP', 'Cần', 'Thơ', ',', 'sau', 'chuyển', 'đến', 'Bệnh', 'viện', 'Lao', 'và', 'Bệnh', 'phổi', 'Cần', 'Thơ', 'sau', 'khi', 'có', 'kết', 'quả', 'dương', 'tính', 'với', 'virus', 'SARS', '-', 'CoV', '-', '2', 'Bác', 'sĩ', 'Trần', 'Mạnh', 'Hồng', '-', 'Giám', 'đốc', 'Bệnh', 'viện', 'Lao', 'và', 'Bệnh', 'phổi', 'Cần', 'Thơ', ',', 'cho', 'biết', 'sau', 'khi', 'ra', 'viện', ',', 'bệnh', 'nhân', 'tiếp', 'tục', 'cách', 'ly', 'tại', 'nhà', '14', 'ngày', ',', 'tuy', 'nhiên', 'do', 'bệnh', 'nhân', 'có', 'địa', 'chỉ', 'tại', 'Quảng', 'Ninh', ',', 'không', 'có', 'xe', 'về', 'nên', 'được', 'đưa', 'về', 'cách', 'ly', 'theo', 'dõi', 'tiếp', 'tại', 'khu', 'cách', 'ly', 'tập', 'trung', 'của', 'TP', 'Cần', 'Thơ', '.']"
785,[],[],[],[],[],"[(['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['19', '-', '3']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['cửa', 'khẩu', 'quốc', 'tế', 'Cầu', 'Treo']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['huyện', 'Hương', 'Sơn']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Hà', 'Tĩnh'])]","['Khoảng', '18h', 'ngày', '19', '-', '3', ',', 'bệnh', 'nhân', 'về', 'đến', 'cửa', 'khẩu', 'quốc', 'tế', 'Cầu', 'Treo', '(', 'huyện', 'Hương', 'Sơn', ',', 'Hà', 'Tĩnh', ')', '.']"
