Row,No Extraction,Wrong Tag,Wrong Range,Wrong Range and tag,Num correct tags,Sentence
10,[],[],[],[],"[(['B-NAME'], ['B-NAME'], ['N.M.C.']), (['B-JOB', 'I-JOB'], ['B-JOB', 'I-JOB'], ['nhân_viên', 'ngân_hàng']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['38', 'Hàng', 'Da']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['phường', 'Hàng', 'Bông']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['quận', 'Hoàn_Kiếm'])]","['Theo', 'đó', 'bệnh_nhân', 'tên', 'N.M.C.', ',', 'là', 'nhân_viên', 'ngân_hàng', 'tại', '38', 'Hàng', 'Da', ',', 'phường', 'Hàng', 'Bông', ',', 'quận', 'Hoàn_Kiếm', '.']"
11,[],[],[],[],"[(['B-PATIENT_ID'], ['B-PATIENT_ID'], ['785']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['785']), (['B-GENDER'], ['B-GENDER'], ['nam']), (['B-AGE'], ['B-AGE'], ['42']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Đức', 'Thượng']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Hoài', 'Đức']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Hà', 'Nội'])]","['Theo', 'đó', ',', 'ca', 'bệnh', '785', '(', 'bệnh_nhân', '785', ')', 'là', 'nam', ',', '42', 'tuổi', ',', 'có', 'địa', 'chỉ', 'tại', 'Đức', 'Thượng', ',', 'Hoài', 'Đức', ',', 'Hà', 'Nội', '.']"
12,[],[],[],[],"[(['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['UBND', 'tỉnh', 'Thanh_Hoá']), (['B-NAME'], ['B-NAME'], ['Đ.T.H.']), (['B-LOCATION'], ['B-LOCATION'], ['Sầm_Sơn']), (['B-LOCATION'], ['B-LOCATION'], ['Thanh_Hoá'])]","['Phát_biểu', 'tại', 'cuộc', 'họp', ',', 'Chủ_tịch', 'UBND', 'tỉnh', 'Thanh_Hoá', 'Nguyễn_Đình_Xứng', 'khẳng_định', 'việc', 'xuất_hiện', 'trường_hợp', 'bà', 'Đ.T.H.', 'tại', 'Sầm_Sơn', 'đã', 'cảnh_báo', 'lỗ_hổng', 'trong', 'công_tác', 'giám_sát', ',', 'cách_ly', 'các', 'ca', 'bệnh', 'ở', 'Thanh_Hoá', '.']"
13,[],[],[],[],"[(['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['Bệnh_viện', 'Lao', 'và', 'Bệnh', 'phổi', 'Thành_phố', 'Cần_Thơ'])]","['Hiện', 'hai', 'bệnh_nhân', 'điều_trị', 'tại', 'Bệnh_viện', 'Lao', 'và', 'Bệnh', 'phổi', 'Thành_phố', 'Cần_Thơ', '.']"
14,[],[],[],[],"[(['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['công_viên', 'SunWorld', 'Đà_Nẵng']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['siêu_thị', 'Lotte_Mart'])]","['Trong', 'thời_gian', 'ở', 'đây', ',', 'em', 'đi', 'chơi', 'công_viên', 'SunWorld', 'Đà_Nẵng', ',', 'siêu_thị', 'Lotte_Mart', 'và', 'ăn_ở', 'một_số', 'quán', '.']"
15,[],[],[],[],"[(['B-DATE'], ['B-DATE'], ['13/8']), (['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['Ban', 'chỉ_đạo', 'phòng_chống', 'dịch_bệnh', 'Covid', '-', '19', 'Quảng_Trị']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['904'])]","['Tối', '13/8', ',', 'Ban', 'chỉ_đạo', 'phòng_chống', 'dịch_bệnh', 'Covid', '-', '19', 'Quảng_Trị', 'công_bố', 'thông_tin', 'trên', 'cùng', 'hành_trình', 'của', '""', 'bệnh_nhân', '904', '""', '.']"
16,[],[],[],[],"[(['B-PATIENT_ID'], ['B-PATIENT_ID'], ['435']), (['B-GENDER'], ['B-GENDER'], ['nữ']), (['B-AGE'], ['B-AGE'], ['29']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['phường', 'An_Hải_Đông']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['quận', 'Sơn_Trà']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['TP', 'Đà_Nẵng']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['xã', 'An_Hoà']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['huyện', 'Quỳnh_Lưu'])]","['Bệnh_nhân', '435', ',', 'nữ', ',', '29', 'tuổi', ',', 'đang', 'tạm_trú', 'phường', 'An_Hải_Đông', ',', 'quận', 'Sơn_Trà', ',', 'TP', 'Đà_Nẵng', 'có', 'quê', 'ở', 'xã', 'An_Hoà', ',', 'huyện', 'Quỳnh_Lưu', '.']"
17,[],[],"[(['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'O', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'O', 'O'], ['tràn', 'khí', 'màng', 'phổi', 'đã', 'dẫn_lưu'])]",[],"[(['B-LOCATION'], ['B-LOCATION'], ['Đà_Nẵng']), (['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['viêm', 'phổi', 'nặng'])]","['Trước', 'đó', ',', 'khi', 'điều_trị', 'tại', 'hai', 'bệnh_viện', 'ở', 'Đà_Nẵng', ',', 'bệnh_nhân', 'viêm', 'phổi', 'nặng', 'trên', '10', 'năm', ',', 'tràn', 'khí', 'màng', 'phổi', 'đã', 'dẫn_lưu', '.']"
18,[],[],[],[],"[(['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['24', '-', '2']), (['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['Trung_tâm', 'kiểm_soát', 'bệnh_tật', 'tỉnh', 'Thừa_Thiên_Huế']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['xã', 'Vinh_Hiền']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['huyện', 'Phú_Lộc']), (['B-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE'], ['ho']), (['B-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE'], ['sốt']), (['B-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE'], ['ói'])]","['Sáng', '24', '-', '2', ',', 'Trung_tâm', 'kiểm_soát', 'bệnh_tật', 'tỉnh', 'Thừa_Thiên_Huế', 'đã', 'tổ_chức', 'họp_báo', 'để', 'công_bố', 'thông_tin', 'về', 'nguyên_nhân', 'tử_vong', 'của', 'nữ_sinh', 'lớp', '12', 'ở', 'xã', 'Vinh_Hiền', ',', 'huyện', 'Phú_Lộc', 'sau', 'khi', 'bệnh_nhân', 'này', 'có', 'triệu_chứng', 'ho', ',', 'sốt', ',', 'ói', '.']"
19,[],[],[],[],"[(['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['phường', 'Nghĩa', 'Trung']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['TP', 'Gia_Nghĩa'])]","['Thiếu_nữ', 'trú', 'phường', 'Nghĩa', 'Trung', ',', 'TP', 'Gia_Nghĩa', ',', 'có', 'yếu_tố', 'dịch_tễ', 'là', 'tiếp_xúc', 'với', 'người', 'từ', 'vùng', 'dịch', 'trở', 'về', '.']"
20,[],[],[],[],"[(['B-PATIENT_ID'], ['B-PATIENT_ID'], ['20']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['161']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['Bệnh', 'nhiệt_đới', 'Trung_ương', 'cơ_sở', '2'])]","['Ca', 'số', '20', 'và', '161', 'đang', 'được', 'điều_trị', 'tại', 'Bệnh', 'nhiệt_đới', 'Trung_ương', 'cơ_sở', '2', '.']"
21,[],[],[],[],"[(['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['30', '-', '8']), (['B-NAME'], ['B-NAME'], ['T.T.B.P.']), (['B-LOCATION'], ['B-LOCATION'], ['Nhật_Bản'])]","['Trước', 'đó', 'vào', 'ngày', '30', '-', '8', ',', 'T.T.B.P.', 'nhập_cảnh', 'vào', 'Nhật_Bản', ',', 'được', 'xét_nghiệm', 'và', 'có', 'kết_quả', 'dương_tính', 'với', 'virus', 'SARS', '-', 'CoV', '-', '2', '.']"
22,[],[],[],[],"[(['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['Bộ', 'Kế_hoạch', '-', 'đầu_tư']), (['B-NAME'], ['B-NAME'], ['Nguyễn_Chí_Dũng']), (['B-TRANSPORTATION'], ['B-TRANSPORTATION'], ['VN0054']), (['B-ORGANIZATION'], ['B-ORGANIZATION'], ['VietNam_Airlines']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['sân_bay', 'Nội_Bài']), (['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['2', '-', '3']), (['B-GENDER'], ['B-GENDER'], ['nữ']), (['B-NAME', 'I-NAME'], ['B-NAME', 'I-NAME'], ['N.H.N', '..'])]","['Bộ_trưởng', 'Bộ', 'Kế_hoạch', '-', 'đầu_tư', 'Nguyễn_Chí_Dũng', 'là', 'một', 'trong', 'những', 'người', 'đi', 'cùng', 'chuyến', 'bay', 'số_hiệu', 'VN0054', 'của', 'VietNam_Airlines', ',', 'hạ_cánh', 'xuống', 'sân_bay', 'Nội_Bài', 'lúc', '4h30', 'sáng', '2', '-', '3', ',', 'ngồi', 'cùng', 'khoang', 'hạng', 'thương_gia', 'với', 'nữ', 'bệnh_nhân', 'N.H.N', '..']"
23,[],[],[],[],"[(['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['21', '-', '7']), (['B-TRANSPORTATION'], ['B-TRANSPORTATION'], ['SE7']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['thành_phố', 'Đà_Nẵng']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['thành_phố', 'Quảng_Ngãi'])]","['3', '.', 'Những', 'người', 'đi', 'chuyến', 'tàu', '23h', 'ngày', '21', '-', '7', ',', 'số_hiệu', 'SE7', 'từ', 'thành_phố', 'Đà_Nẵng', 'đến', 'thành_phố', 'Quảng_Ngãi', '.']"
